stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
5990,Culvert,Passable,108847.2,1,
6027,Culvert,Partial,108847.2,0.5,
6035,Culvert,Partial,108847.2,0.5,
6107,Bridge,Passable,370171,1,
6107,Bridge,Passable,370171,1,
6107,Bridge,Passable,370171,1,
6109,Culvert,Partial,108847.2,0.5,
6111,Culvert,Passable,108847.2,1,
6136,Culvert,Partial,108847.2,0.5,
6174,Culvert,Passable,108847.2,1,
6174,Culvert,Passable,108847.2,1,
6201,Culvert,Partial,108847.2,0.5,
6380,Culvert,Passable,108847.2,1,
6380,Culvert,Passable,108847.2,1,
6380,Bridge,Passable,370171,1,
6382,Culvert,Passable,108847.2,1,
6393,Culvert,Passable,108847.2,1,
6422,Culvert,Passable,108847.2,1,
6468,Culvert,Partial,108847.2,0.5,
6473,Bridge,Passable,370171,1,
6520,Culvert,Passable,108847.2,1,
6594,Bridge,Passable,370171,1,
6597,Bridge,Passable,370171,1,
6624,Culvert,Partial,108847.2,0.5,
6634,Culvert,Partial,108847.2,0.5,
6634,Culvert,Partial,108847.2,0.5,
6664,Culvert,Partial,108847.2,0.5,
6693,Bridge,Passable,370171,1,
6693,Bridge,Passable,370171,1,
6693,Bridge,Passable,370171,1,
6693,Dam,Partial,487195.2,0.5,
6694,Culvert,Passable,108847.2,1,
6880,Culvert,Partial,108847.2,0.5,
6892,Culvert,Partial,108847.2,0.5,
6893,Culvert,Partial,108847.2,0.5,
6906,Culvert,Partial,108847.2,0.5,
6919,Culvert,Partial,108847.2,0.5,
6994,Culvert,Partial,108847.2,0.5,
7028,Culvert,Partial,108847.2,0.5,
7031,Culvert,Partial,108847.2,0.5,
7056,Culvert,Passable,108847.2,1,
7056,Culvert,Partial,108847.2,0.5,
7114,Culvert,Partial,108847.2,0.5,
7115,Culvert,Partial,108847.2,0.5,
7175,Culvert,Partial,108847.2,0.5,
7328,Culvert,Partial,108847.2,0.5,
7367,Culvert,Partial,108847.2,0.5,
7376,Culvert,Partial,108847.2,0.5,
7417,Culvert,Partial,108847.2,0.5,
7419,Culvert,Passable,108847.2,1,
7467,Culvert,Partial,108847.2,0.5,
7468,Culvert,Partial,108847.2,0.5,
7468,Culvert,Partial,108847.2,0.5,
7480,Culvert,Partial,108847.2,0.5,
7485,Culvert,Partial,108847.2,0.5,
7595,Culvert,Passable,108847.2,1,
7595,Bridge,Passable,370171,1,
7595,Bridge,Passable,370171,1,
7596,Culvert,Partial,108847.2,0.5,
7596,Bridge,Passable,370171,1,
7648,Culvert,Partial,108847.2,0.5,
7649,Culvert,Partial,108847.2,0.5,
7649,Culvert,Partial,108847.2,0.5,
7649,Culvert,Passable,108847.2,1,
7649,Culvert,Partial,108847.2,0.5,
7649,Culvert,Passable,108847.2,1,
7657,Culvert,Partial,108847.2,0.5,
7660,Culvert,Partial,108847.2,0.5,
7667,Culvert,Passable,108847.2,1,
7668,Culvert,Passable,108847.2,1,
7669,Culvert,Passable,108847.2,1,
7685,Bridge,Passable,370171,1,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Passable,108847.2,1,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7686,Culvert,Partial,108847.2,0.5,
7708,Culvert,Partial,108847.2,0.5,
7708,Culvert,Partial,108847.2,0.5,
7708,Culvert,Partial,108847.2,0.5,
7709,Culvert,Partial,108847.2,0.5,
7709,Culvert,Partial,108847.2,0.5,
7709,Culvert,Partial,108847.2,0.5,
7865,Culvert,Passable,108847.2,1,
7875,Culvert,Partial,108847.2,0.5,
7895,Bridge,Passable,370171,1,
7910,Bridge,Passable,370171,1,
7918,Bridge,Passable,370171,1,
7918,Bridge,Passable,370171,1,
7930,Culvert,Passable,108847.2,1,
8007,Bridge,Passable,370171,1,
8007,Bridge,Passable,370171,1,
8011,Bridge,Passable,370171,1,
8011,Bridge,Passable,370171,1,
8012,Falls,UnkAnad,455041.93,0.5,
8012,Culvert,Passable,108847.2,1,
8012,Culvert,Passable,108847.2,1,
8012,Culvert,Partial,108847.2,0.5,
8012,Culvert,Partial,108847.2,0.5,
8012,Bridge,Passable,370171,1,
8012,Bridge,Passable,370171,1,
8012,Bridge,Passable,370171,1,
8013,Bridge,Passable,370171,1,
8013,Falls,Partial,455041.93,0.5,
8127,Culvert,Passable,108847.2,1,
8128,Culvert,Passable,108847.2,1,
8142,Culvert,Passable,108847.2,1,
8168,Culvert,Passable,108847.2,1,
8189,Culvert,Partial,108847.2,0.5,
8463,CascadeGradientVelocity,Partial,455041.93,0.5,
8536,Falls,UnkAnad,455041.93,0.5,
8629,Bridge,Passable,370171,1,
8630,Falls,UnkAnad,455041.93,0.5,
8659,Falls,UnkAnad,455041.93,0.5,
8763,Culvert,Partial,108847.2,0.5,
8839,Culvert,Partial,108847.2,0.5,
8839,Culvert,Partial,108847.2,0.5,
8839,CascadeGradientVelocity,Partial,455041.93,0.5,
9168,Culvert,Partial,108847.2,0.5,
9169,Culvert,Partial,108847.2,0.5,
9238,Culvert,Partial,108847.2,0.5,
9249,Culvert,Partial,108847.2,0.5,
9778,Culvert,Partial,108847.2,0.5,
9778,Culvert,Partial,108847.2,0.5,
9778,Culvert,Partial,108847.2,0.5,
9817,Culvert,Partial,108847.2,0.5,
9840,Culvert,Partial,108847.2,0.5,
9941,Culvert,Partial,108847.2,0.5,
10022,Bridge,Passable,370171,1,
10022,WeirSill,Partial,0,0.5,
10022,Bridge,Passable,370171,1,
10023,Bridge,Passable,370171,1,
10023,Bridge,Passable,370171,1,
10024,Falls,UnkAnad,455041.93,0.5,
10024,Culvert,Passable,108847.2,1,
10024,Culvert,Passable,108847.2,1,
10025,Culvert,Passable,108847.2,1,
10102,Culvert,Passable,108847.2,1,
10102,Dam,Partial,487195.2,0.5,
10309,Bridge,Passable,370171,1,
10641,Culvert,Partial,108847.2,0.5,
10719,Culvert,Passable,108847.2,1,
10828,Culvert,Passable,108847.2,1,
10891,Culvert,Partial,108847.2,0.5,
10917,WeirSill,Partial,0,0.5,
11150,Culvert,Partial,108847.2,0.5,
11154,Culvert,Partial,108847.2,0.5,
11174,Culvert,Partial,108847.2,0.5,
11187,Culvert,Passable,108847.2,1,
11190,Culvert,Partial,108847.2,0.5,
11216,Culvert,Partial,108847.2,0.5,
11229,Culvert,Partial,108847.2,0.5,
11455,Culvert,Passable,108847.2,1,
11455,Culvert,Passable,108847.2,1,
11457,Culvert,Partial,108847.2,0.5,
11458,Culvert,Partial,108847.2,0.5,
11496,Culvert,Partial,108847.2,0.5,
11567,Culvert,Partial,108847.2,0.5,
11568,Culvert,Partial,108847.2,0.5,
11803,Culvert,Partial,108847.2,0.5,
11822,Bridge,Passable,370171,1,
11824,Culvert,Partial,108847.2,0.5,
12023,Culvert,Partial,108847.2,0.5,
12067,Culvert,Partial,108847.2,0.5,
12068,Culvert,Passable,108847.2,1,
12068,Culvert,Partial,108847.2,0.5,
12068,Culvert,Partial,108847.2,0.5,
12103,Culvert,Passable,108847.2,1,
12415,Culvert,Partial,108847.2,0.5,
12455,Culvert,Partial,108847.2,0.5,
12480,Falls,UnkAnad,455041.93,0.5,
12480,Bridge,Passable,370171,1,
12480,Bridge,Passable,370171,1,
12480,Bridge,Passable,370171,1,
12480,Culvert,Partial,108847.2,0.5,
12481,Bridge,Passable,370171,1,
12483,Culvert,Partial,108847.2,0.5,
12484,Culvert,Passable,108847.2,1,
12689,Bridge,Passable,370171,1,
12690,Culvert,Partial,108847.2,0.5,
12747,Falls,UnkAnad,455041.93,0.5,
12837,Bridge,Passable,370171,1,
12987,Falls,UnkAnad,455041.93,0.5,
13043,Culvert,Partial,108847.2,0.5,
13069,Bridge,Passable,370171,1,
13116,Culvert,Partial,108847.2,0.5,
13240,Culvert,Partial,108847.2,0.5,
13286,Culvert,Partial,108847.2,0.5,
13286,Bridge,Passable,370171,1,
13338,Culvert,Passable,108847.2,1,
13372,Culvert,Partial,108847.2,0.5,
13633,Bridge,Passable,370171,1,
13634,Culvert,Partial,108847.2,0.5,
13660,Culvert,Passable,108847.2,1,
13721,Culvert,Partial,108847.2,0.5,
13752,Culvert,Partial,108847.2,0.5,
13774,Bridge,Passable,370171,1,
13876,Culvert,Partial,108847.2,0.5,
13876,Bridge,Passable,370171,1,
13903,Culvert,Partial,108847.2,0.5,
13923,Culvert,Partial,108847.2,0.5,
13948,Culvert,Partial,108847.2,0.5,
14287,Bridge,Passable,370171,1,
14288,Culvert,Partial,108847.2,0.5,
14318,Culvert,Partial,108847.2,0.5,
14327,Culvert,Partial,108847.2,0.5,
14350,Culvert,Partial,108847.2,0.5,
14398,Culvert,Partial,108847.2,0.5,
14398,Culvert,Partial,108847.2,0.5,
14398,Culvert,Partial,108847.2,0.5,
14399,Culvert,Partial,108847.2,0.5,
14408,Culvert,Partial,108847.2,0.5,
14441,Culvert,Partial,108847.2,0.5,
14472,Culvert,Partial,108847.2,0.5,
14570,Culvert,Passable,108847.2,1,
14570,Bridge,Passable,370171,1,
14571,Falls,UnkAnad,455041.93,0.5,
14571,Falls,UnkAnad,455041.93,0.5,
14906,Falls,UnkAnad,455041.93,0.5,
14911,Culvert,Partial,108847.2,0.5,
14911,Culvert,Partial,108847.2,0.5,
14911,Culvert,Partial,108847.2,0.5,
14930,Culvert,Passable,108847.2,1,
14936,Culvert,Partial,108847.2,0.5,
15004,Culvert,Partial,108847.2,0.5,
15012,Culvert,Passable,108847.2,1,
15029,Ford,UnkAnad,108847.2,0.5,
15029,Culvert,Passable,108847.2,1,
15138,Culvert,Passable,108847.2,1,
15138,Culvert,Passable,108847.2,1,
15138,Culvert,Passable,108847.2,1,
15139,Culvert,Passable,108847.2,1,
15168,Culvert,Passable,108847.2,1,
15169,Culvert,Partial,108847.2,0.5,
15188,Culvert,Partial,108847.2,0.5,
15351,Bridge,Passable,370171,1,
15397,Culvert,Partial,108847.2,0.5,
15398,Culvert,Partial,108847.2,0.5,
15398,Culvert,Partial,108847.2,0.5,
15398,Culvert,Partial,108847.2,0.5,
15398,Culvert,Passable,108847.2,1,
15398,Culvert,Partial,108847.2,0.5,
15399,Culvert,Passable,108847.2,1,
15404,Culvert,Partial,108847.2,0.5,
15422,Culvert,Partial,108847.2,0.5,
15439,Bridge,Passable,370171,1,
15441,Bridge,Passable,370171,1,
15443,Bridge,Passable,370171,1,
15445,Bridge,Passable,370171,1,
15445,Bridge,Passable,370171,1,
15445,Bridge,Passable,370171,1,
15445,Bridge,Passable,370171,1,
15445,Bridge,Passable,370171,1,
15446,Bridge,Passable,370171,1,
15452,Culvert,Partial,108847.2,0.5,
15452,Culvert,Passable,108847.2,1,
15452,Culvert,Partial,108847.2,0.5,
15452,Culvert,Partial,108847.2,0.5,
15452,Culvert,Passable,108847.2,1,
15453,Culvert,Partial,108847.2,0.5,
15453,Culvert,Partial,108847.2,0.5,
15548,Culvert,Partial,108847.2,0.5,
15548,Bridge,Passable,370171,1,
15548,Bridge,Passable,370171,1,
15568,Bridge,Passable,370171,1,
15569,Bridge,Passable,370171,1,
15586,Culvert,Partial,108847.2,0.5,
15620,Culvert,Partial,108847.2,0.5,
15620,Culvert,Partial,108847.2,0.5,
15626,Culvert,Passable,108847.2,1,
15806,Culvert,Passable,108847.2,1,
15813,Culvert,Passable,108847.2,1,
15859,Culvert,Passable,108847.2,1,
15859,Culvert,Partial,108847.2,0.5,
15927,Culvert,Passable,108847.2,1,
15927,Culvert,Partial,108847.2,0.5,
15928,Culvert,Passable,108847.2,1,
15928,Culvert,Partial,108847.2,0.5,
15932,Culvert,Passable,108847.2,1,
15963,Culvert,Partial,108847.2,0.5,
15967,Culvert,Partial,108847.2,0.5,
15995,Bridge,Passable,370171,1,
16052,Bridge,Passable,370171,1,
16101,Culvert,Passable,108847.2,1,
16145,Culvert,Passable,108847.2,1,
16155,Culvert,Partial,108847.2,0.5,
16344,Falls,UnkAnad,455041.93,0.5,
16344,Dam,Partial,487195.2,0.5,
16344,Culvert,Partial,108847.2,0.5,
16344,Bridge,Passable,370171,1,
16344,Bridge,Passable,370171,1,
16345,Falls,Unknown,455041.93,0.5,
16385,Culvert,Partial,108847.2,0.5,
16466,Bridge,Passable,370171,1,
16468,Culvert,Partial,108847.2,0.5,
16468,Bridge,Passable,370171,1,
16468,Dam,Partial,487195.2,0.5,
16469,Culvert,Passable,108847.2,1,
16469,Culvert,Partial,108847.2,0.5,
16469,Culvert,Partial,108847.2,0.5,
16469,Culvert,Partial,108847.2,0.5,
16490,Culvert,Partial,108847.2,0.5,
16538,Culvert,Passable,108847.2,1,
16603,Falls,UnkAnad,455041.93,0.5,
16603,Bridge,Passable,370171,1,
16603,Bridge,Passable,370171,1,
16604,Culvert,Partial,108847.2,0.5,
16604,Culvert,Passable,108847.2,1,
16604,Bridge,Passable,370171,1,
16605,Culvert,Partial,108847.2,0.5,
16630,Culvert,Partial,108847.2,0.5,
16660,Culvert,Passable,108847.2,1,
16673,Culvert,Passable,108847.2,1,
16681,Culvert,Partial,108847.2,0.5,
16681,Culvert,Partial,108847.2,0.5,
16682,Culvert,Partial,108847.2,0.5,
16709,Culvert,Passable,108847.2,1,
16932,Culvert,Partial,108847.2,0.5,
16953,Falls,UnkAnad,455041.93,0.5,
16955,Culvert,Partial,108847.2,0.5,
17014,Bridge,Passable,370171,1,
17017,Bridge,Passable,370171,1,
17020,Culvert,Passable,108847.2,1,
17020,Culvert,Passable,108847.2,1,
17021,Culvert,Passable,108847.2,1,
17053,Culvert,Passable,108847.2,1,
17057,Culvert,Passable,108847.2,1,
17067,Culvert,Passable,108847.2,1,
17078,Culvert,Passable,108847.2,1,
17080,Culvert,Partial,108847.2,0.5,
17142,Culvert,Passable,108847.2,1,
17142,Culvert,Partial,108847.2,0.5,
17142,Culvert,Partial,108847.2,0.5,
17142,Culvert,Partial,108847.2,0.5,
17142,Culvert,Partial,108847.2,0.5,
17142,Bridge,Passable,370171,1,
17180,Culvert,Partial,108847.2,0.5,
17184,Culvert,Partial,108847.2,0.5,
17184,Culvert,Partial,108847.2,0.5,
17184,Culvert,Partial,108847.2,0.5,
17191,Culvert,Partial,108847.2,0.5,
17191,Culvert,Partial,108847.2,0.5,
17212,Culvert,Partial,108847.2,0.5,
17212,Bridge,Passable,370171,1,
17262,Culvert,Partial,108847.2,0.5,
17262,Bridge,Passable,370171,1,
17272,Bridge,Passable,370171,1,
17277,Bridge,Passable,370171,1,
17285,Culvert,Partial,108847.2,0.5,
17304,Culvert,Partial,108847.2,0.5,
17304,Culvert,Partial,108847.2,0.5,
17457,Culvert,Partial,108847.2,0.5,
17457,Culvert,Partial,108847.2,0.5,
17462,Culvert,Partial,108847.2,0.5,
17480,Culvert,Partial,108847.2,0.5,
17494,Culvert,Partial,108847.2,0.5,
17494,Culvert,Partial,108847.2,0.5,
17494,Culvert,Partial,108847.2,0.5,
17494,Culvert,Partial,108847.2,0.5,
17495,Culvert,Partial,108847.2,0.5,
17511,Culvert,Partial,108847.2,0.5,
17512,Culvert,Partial,108847.2,0.5,
17513,Culvert,Partial,108847.2,0.5,
17514,Culvert,Partial,108847.2,0.5,
17537,Bridge,Passable,370171,1,
17537,Bridge,Passable,370171,1,
17537,Bridge,Passable,370171,1,
17538,Bridge,Passable,370171,1,
17539,Culvert,Partial,108847.2,0.5,
17539,Bridge,Passable,370171,1,
17691,Culvert,Partial,108847.2,0.5,
17691,Culvert,Partial,108847.2,0.5,
17715,Culvert,Passable,108847.2,1,
17715,Culvert,Partial,108847.2,0.5,
17715,Culvert,Partial,108847.2,0.5,
17715,Culvert,Partial,108847.2,0.5,
17715,Culvert,Partial,108847.2,0.5,
17716,Culvert,Partial,108847.2,0.5,
17736,Culvert,Partial,108847.2,0.5,
17774,Culvert,Partial,108847.2,0.5,
17792,Culvert,Passable,108847.2,1,
17798,Culvert,Passable,108847.2,1,
17798,Culvert,Passable,108847.2,1,
17798,Culvert,Partial,108847.2,0.5,
17799,Culvert,Passable,108847.2,1,
17812,Culvert,Passable,108847.2,1,
17911,Bridge,Passable,370171,1,
17952,Culvert,Partial,108847.2,0.5,
17971,Culvert,Partial,108847.2,0.5,
17976,Culvert,Partial,108847.2,0.5,
18137,Culvert,Partial,108847.2,0.5,
18174,Culvert,Partial,108847.2,0.5,
18217,Bridge,Passable,370171,1,
18217,Bridge,Passable,370171,1,
18217,Bridge,Passable,370171,1,
18217,Bridge,Passable,370171,1,
18218,Falls,UnkAnad,455041.93,0.5,
18218,Bridge,Passable,370171,1,
18219,Bridge,Passable,370171,1,
18220,Falls,UnkAnad,455041.93,0.5,
18220,Culvert,Passable,108847.2,1,
18220,Culvert,Passable,108847.2,1,
18220,Culvert,Passable,108847.2,1,
18220,Culvert,Passable,108847.2,1,
18220,Culvert,Partial,108847.2,0.5,
18220,Culvert,Partial,108847.2,0.5,
18220,Culvert,Partial,108847.2,0.5,
18220,Culvert,Partial,108847.2,0.5,
18220,Culvert,Passable,108847.2,1,
18220,Culvert,Partial,108847.2,0.5,
18220,Culvert,Partial,108847.2,0.5,
18245,Culvert,Partial,108847.2,0.5,
18245,Culvert,Partial,108847.2,0.5,
18301,Culvert,Passable,108847.2,1,
18479,Culvert,Partial,108847.2,0.5,
18485,Culvert,Passable,108847.2,1,
18523,Culvert,Partial,108847.2,0.5,
18575,Culvert,Passable,108847.2,1,
18595,Culvert,Passable,108847.2,1,
18622,Culvert,Passable,108847.2,1,
18644,Culvert,Partial,108847.2,0.5,
18644,Culvert,Partial,108847.2,0.5,
18644,Culvert,Partial,108847.2,0.5,
18644,Culvert,Partial,108847.2,0.5,
18644,Dam,Partial,487195.2,0.5,
18645,Dam,Partial,487195.2,0.5,
18646,Culvert,Passable,108847.2,1,
18646,Culvert,Passable,108847.2,1,
18646,Dam,Partial,487195.2,0.5,
18693,Culvert,Passable,108847.2,1,
18693,Culvert,Passable,108847.2,1,
18693,Dam,Partial,487195.2,0.5,
18695,Dam,Partial,487195.2,0.5,
18766,Culvert,Partial,108847.2,0.5,
18766,Dam,Partial,487195.2,0.5,
18832,Culvert,Partial,108847.2,0.5,
18832,Culvert,Partial,108847.2,0.5,
18892,Culvert,Passable,108847.2,1,
18912,Culvert,Partial,108847.2,0.5,
19128,Culvert,Passable,108847.2,1,
19128,Culvert,Partial,108847.2,0.5,
19128,Culvert,Partial,108847.2,0.5,
19128,Culvert,Partial,108847.2,0.5,
19128,Culvert,Passable,108847.2,1,
19128,Bridge,Passable,370171,1,
19129,Culvert,Partial,108847.2,0.5,
19143,Culvert,Partial,108847.2,0.5,
19161,Culvert,Partial,108847.2,0.5,
19231,Culvert,Partial,108847.2,0.5,
19267,Culvert,Passable,108847.2,1,
19342,Bridge,Passable,370171,1,
19343,Culvert,Partial,108847.2,0.5,
19485,Bridge,Passable,370171,1,
19485,Bridge,Passable,370171,1,
19486,Bridge,Passable,370171,1,
19487,Bridge,Passable,370171,1,
19487,Culvert,Partial,108847.2,0.5,
19856,Bridge,Passable,370171,1,
19856,Culvert,Partial,108847.2,0.5,
19907,Bridge,Passable,370171,1,
19914,Bridge,Passable,370171,1,
19915,Culvert,Partial,108847.2,0.5,
19990,Bridge,Passable,370171,1,
20009,Bridge,Passable,370171,1,
20010,Culvert,Partial,108847.2,0.5,
20010,Culvert,Partial,108847.2,0.5,
20048,Culvert,Partial,108847.2,0.5,
20084,Culvert,Partial,108847.2,0.5,
20160,Culvert,Partial,108847.2,0.5,
20162,Culvert,Partial,108847.2,0.5,
20162,Culvert,Partial,108847.2,0.5,
20163,Culvert,Partial,108847.2,0.5,
20189,Culvert,Partial,108847.2,0.5,
20210,Culvert,Passable,108847.2,1,
20233,Culvert,Partial,108847.2,0.5,
20254,Culvert,Partial,108847.2,0.5,
20254,Culvert,Partial,108847.2,0.5,
20322,Culvert,Partial,108847.2,0.5,
20443,Culvert,Partial,108847.2,0.5,
20466,Culvert,Partial,108847.2,0.5,
20480,Culvert,Partial,108847.2,0.5,
20525,Culvert,Partial,108847.2,0.5,
20559,Bridge,Passable,370171,1,
20559,Culvert,Passable,108847.2,1,
20559,Culvert,Passable,108847.2,1,
20561,Bridge,Passable,370171,1,
20564,Culvert,Partial,108847.2,0.5,
20564,Culvert,Passable,108847.2,1,
20564,Culvert,Partial,108847.2,0.5,
20579,Culvert,Passable,108847.2,1,
20585,Culvert,Partial,108847.2,0.5,
20585,Culvert,Partial,108847.2,0.5,
20700,Culvert,Passable,108847.2,1,
20701,Culvert,Passable,108847.2,1,
20701,Culvert,Passable,108847.2,1,
20701,Culvert,Partial,108847.2,0.5,
20701,Culvert,Partial,108847.2,0.5,
20726,Culvert,Passable,108847.2,1,
20726,Culvert,Partial,108847.2,0.5,
20767,Culvert,Passable,108847.2,1,
20807,Culvert,Passable,108847.2,1,
20827,Culvert,Passable,108847.2,1,
20962,Bridge,Passable,370171,1,
